model,language,mean_bert_score
gemma3:1b,hindi,0.8792548775672913
gemma3:1b,marathi,0.8789758682250977
gemma3:1b,spanish,0.8941045999526978
gemma3:1b,german,0.8950846791267395
gemma3:1b,sanskrit,0.8445302844047546
mistral,hindi,0.8615677356719971
mistral,marathi,0.854328453540802
mistral,spanish,0.8840782046318054
mistral,german,0.8811210989952087
mistral,sanskrit,0.8200945258140564
llama3,hindi,0.8715590834617615
llama3,marathi,0.8639492392539978
llama3,spanish,0.8772292733192444
llama3,german,0.875135600566864
llama3,sanskrit,0.858609139919281
phi3,hindi,0.3912819027900696
phi3,marathi,0.4581484794616699
phi3,spanish,0.498312771320343
phi3,german,0.5217625498771667
phi3,sanskrit,0.46262574195861816
deepseek-llm,hindi,0.8320105075836182
deepseek-llm,marathi,0.8280302286148071
deepseek-llm,spanish,0.8706761598587036
deepseek-llm,german,0.864149808883667
deepseek-llm,sanskrit,0.8128479719161987
stablelm2,hindi,0.8204851746559143
stablelm2,marathi,0.8179131150245667
stablelm2,spanish,0.8531172275543213
stablelm2,german,0.8456599116325378
stablelm2,sanskrit,0.8033298254013062
qwen3:1.7b,hindi,0.8667747378349304
qwen3:1.7b,marathi,0.8653170466423035
qwen3:1.7b,spanish,0.8707435727119446
qwen3:1.7b,german,0.8719444274902344
qwen3:1.7b,sanskrit,0.8465919494628906
